,date,close
84,2018-08-08,159691.82
85,2018-08-15,160615.38
86,2018-08-22,162970.81
87,2018-08-29,162344.23
88,2018-09-05,162467.49
89,2018-09-12,161753.02
90,2018-09-19,160867.26
91,2018-09-26,161429.18
92,2018-10-03,162619.32
93,2018-10-10,163417.03
94,2018-10-17,165094.56
95,2018-10-24,166180.94
96,2018-10-31,166380.4
97,2018-11-07,167146.07
98,2018-11-14,166358.38
99,2018-11-21,167319.51
100,2018-11-28,167768.52
101,2018-12-05,167599.18
102,2018-12-12,168950.26
103,2018-12-19,168344.42
104,2018-12-26,169104.31
105,2019-01-02,169433.38
106,2019-01-09,169302.81
107,2019-01-16,169302.12
108,2019-01-23,169428.08
109,2019-01-30,170914.04
110,2019-02-06,171341.58
111,2019-02-13,170971.62
112,2019-02-20,171884.29
113,2019-02-27,172979.39
114,2019-03-06,172930.86
115,2019-03-13,173882.06
116,2019-03-20,175594.6
117,2019-03-27,175817.59
118,2019-04-03,177414.03
119,2019-04-10,177950.43
120,2019-04-17,177476.03
121,2019-04-24,178372.21
122,2019-05-01,177801.18
123,2019-05-08,176249.37
124,2019-05-15,175919.62
125,2019-05-22,177685.04
126,2019-05-29,179623.44
127,2019-06-05,180445.86
128,2019-06-12,180945.23
129,2019-06-19,179524.29
130,2019-06-26,179802.26
131,2019-07-03,180038.64
132,2019-07-10,180016.65
133,2019-07-17,180963.72
134,2019-07-24,181106.93
135,2019-07-31,180579.28
136,2019-08-07,179041.85
137,2019-08-14,178010.78
138,2019-08-21,179726.4
139,2019-08-28,181144.15
140,2019-09-04,180804.81
141,2019-09-11,181413.06
142,2019-09-18,181197.99
143,2019-09-25,181199.02
144,2019-10-02,182055.52
145,2019-10-09,182966.35
146,2019-10-16,182821.2
147,2019-10-23,182584.36
148,2019-10-30,182373.17
149,2019-11-06,181284.26
150,2019-11-13,181804.98
151,2019-11-20,180825.55
152,2019-11-27,180221.66
153,2019-12-04,180602.58
154,2019-12-11,179888.3
155,2019-12-18,179488.66
156,2019-12-25,179350.75
157,2020-01-01,180783.22
158,2020-01-08,179993.73
159,2020-01-15,180693.39
160,2020-01-22,182583.81
161,2020-01-29,182689.9
162,2020-02-05,181807.72
163,2020-02-12,182646.23
164,2020-02-19,181599.68
165,2020-02-26,181311.27
166,2020-03-04,182570.62
167,2020-03-11,182274.24
168,2020-03-18,183497.2
169,2020-03-25,184642.5
170,2020-04-01,183592.14
171,2020-04-08,185106.55
172,2020-04-15,184422.12
173,2020-04-22,183955.82
174,2020-04-29,183525.31
175,2020-05-06,183189.84
176,2020-05-13,184648.25
177,2020-05-20,184407.55
178,2020-05-27,185236.54
179,2020-06-03,185694.75
180,2020-06-10,184662.57
181,2020-06-17,182667.47
182,2020-06-24,183780.15
183,2020-07-01,184583.68
184,2020-07-08,186435.0
185,2020-07-15,186347.68
186,2020-07-22,185810.31
187,2020-07-29,188465.96
188,2020-08-05,188577.7
189,2020-08-12,190255.16
190,2020-08-19,191236.39
191,2020-08-26,189603.28
192,2020-09-02,191745.37
193,2020-09-09,191553.06
194,2020-09-16,191871.57
195,2020-09-23,192843.85
196,2020-09-30,191913.57
197,2020-10-07,193108.83
198,2020-10-14,194486.48
199,2020-10-21,195493.32
200,2020-10-28,196634.67
201,2020-11-05,197358.61
202,2020-11-11,198286.64
203,2020-11-18,199194.1
204,2020-11-25,199589.71
205,2020-12-02,200369.99
206,2020-12-09,200975.18
207,2020-12-16,201806.25
208,2020-12-23,204029.43
